Symbol,Score,Signal,Reasons
MINDACORP,-4,SELL,"SHOOTING,GRAVESTONE"
MUTHOOTFIN,-4,SELL,"SHOOTING,GRAVESTONE"
ARKADE,-4,SELL,"SHOOTING,GRAVESTONE"
PNGJL,-4,SELL,"SHOOTING,GRAVESTONE"
CHEMBONDCH,-4,SELL,"SHOOTING,GRAVESTONE"
KAVDEFENCE,-4,SELL,"SHOOTING,GRAVESTONE"
GTL,-4,SELL,"SHOOTING,GRAVESTONE"
THOMASCOTT,-4,SELL,"SHOOTING,GRAVESTONE"
MOTOGENFIN,-4,SELL,"SHOOTING,GRAVESTONE"
SANDESH,-4,SELL,"SHOOTING,GRAVESTONE"
SHIVATEX,-4,SELL,"SHOOTING,GRAVESTONE"
ABSLMSCIN,-4,SELL,"SHOOTING,GRAVESTONE"
IIFLCAPS,-4,SELL,"SHOOTING,GRAVESTONE"
ITCHOTELS,-4,SELL,"SHOOTING,GRAVESTONE"
MOQUALITY,-4,SELL,"SHOOTING,GRAVESTONE"
SMLT,-4,SELL,"SHOOTING,GRAVESTONE"
TOP20,-4,SELL,"SHOOTING,GRAVESTONE"
PAVNAIND,-4,SELL,"SHOOTING,GRAVESTONE"
TSFINV,-4,SELL,"SHOOTING,GRAVESTONE"
BAJAJHCARE,-4,SELL,"SHOOTING,GRAVESTONE"
EMAMILTD,-4,SELL,"SHOOTING,GRAVESTONE"
DONEAR,-4,SELL,"SHOOTING,GRAVESTONE"
DEEPAKNTR,-4,SELL,"SHOOTING,GRAVESTONE"
KOTARISUG,-4,SELL,"SHOOTING,GRAVESTONE"
SUNDARAM,-4,SELL,"SHOOTING,GRAVESTONE"
ABLBL,-4,SELL,"SHOOTING,GRAVESTONE"
GROWWCAPM,-4,SELL,"SHOOTING,GRAVESTONE"
SELECTIPO,-4,SELL,"SHOOTING,GRAVESTONE"
PGIL,-4,SELL,"SHOOTING,GRAVESTONE"
MONTECARLO,-4,SELL,"SHOOTING,GRAVESTONE"
ATGL,-4,SELL,"SHOOTING,GRAVESTONE"
NIFTY100EW,-4,SELL,"SHOOTING,GRAVESTONE"
SUBEXLTD,-4,SELL,"SHOOTING,GRAVESTONE"
PLASTIBLEN,-4,SELL,"SHOOTING,GRAVESTONE"
NUVAMA,-4,SELL,"SHOOTING,GRAVESTONE"
NELCO,-4,SELL,"SHOOTING,GRAVESTONE"
PICCADIL,-4,SELL,"SHOOTING,GRAVESTONE"
SENSEXIETF,-4,SELL,"SHOOTING,GRAVESTONE"
AVTNPL,-4,SELL,"SHOOTING,GRAVESTONE"
DCMNVL,-4,SELL,"SHOOTING,GRAVESTONE"
GARFIBRES,-4,SELL,"SHOOTING,GRAVESTONE"
JBMA,-4,SELL,"SHOOTING,GRAVESTONE"
VINNY,-4,SELL,"SHOOTING,GRAVESTONE"
INFRA,-4,SELL,"SHOOTING,GRAVESTONE"
GNFC,-4,SELL,"SHOOTING,GRAVESTONE"
GROWWNIFTY,-4,SELL,"SHOOTING,GRAVESTONE"
KFINTECH,-4,SELL,"SHOOTING,GRAVESTONE"
KAKATCEM,-4,SELL,"SHOOTING,GRAVESTONE"
LUXIND,-4,SELL,"SHOOTING,GRAVESTONE"
DIXON,-4,SELL,"SHOOTING,GRAVESTONE"
ODIGMA,-4,SELL,"SHOOTING,GRAVESTONE"
KROSS,-4,SELL,"SHOOTING,GRAVESTONE"
STARTECK,-4,SELL,"SHOOTING,GRAVESTONE"
ASMS,-4,SELL,"SHOOTING,GRAVESTONE"
CAMLINFINE,-4,SELL,"SHOOTING,GRAVESTONE"
EUROBOND,-4,SELL,"SHOOTING,GRAVESTONE"
WAKEFIT,-4,SELL,"SHOOTING,GRAVESTONE"
ANANTRAJ,-4,SELL,"SHOOTING,GRAVESTONE"
VALIANTLAB,-4,SELL,"SHOOTING,GRAVESTONE"
GLOBUSSPR,-4,SELL,"SHOOTING,GRAVESTONE"
PYRAMID,-4,SELL,"SHOOTING,GRAVESTONE"
OAL,-4,SELL,"SHOOTING,GRAVESTONE"
VINATIORGA,-4,SELL,"SHOOTING,GRAVESTONE"
REPCOHOME,-4,SELL,"SHOOTING,GRAVESTONE"
SADBHIN,-4,SELL,"SHOOTING,GRAVESTONE"
CAMS,-4,SELL,"SHOOTING,GRAVESTONE"
BANARISUG,-4,SELL,"SHOOTING,GRAVESTONE"
TOP15IETF,-4,SELL,"SHOOTING,GRAVESTONE"
ZODIAC,-4,SELL,"SHOOTING,GRAVESTONE"
MUTHOOTMF,-4,SELL,"SHOOTING,GRAVESTONE"
SANGHIIND,-4,SELL,"SHOOTING,GRAVESTONE"
LIQUIDSBI,-4,SELL,"SHOOTING,GRAVESTONE"
TRIDENT,-4,SELL,"SHOOTING,GRAVESTONE"
VISHNU,-4,SELL,"SHOOTING,GRAVESTONE"
COFFEEDAY,-4,SELL,"SHOOTING,GRAVESTONE"
EMMVEE,-4,SELL,"SHOOTING,GRAVESTONE"
TEXMOPIPES,-4,SELL,"SHOOTING,GRAVESTONE"
PACEDIGITK,-4,SELL,"SHOOTING,GRAVESTONE"
KIRIINDUS,-4,SELL,"SHOOTING,GRAVESTONE"
QUAL30IETF,-4,SELL,"SHOOTING,GRAVESTONE"
PROTEAN,-4,SELL,"SHOOTING,GRAVESTONE"
DENTA,-4,SELL,"SHOOTING,GRAVESTONE"
VMSTMT,-4,SELL,"SHOOTING,GRAVESTONE"
ELECTCAST,-4,SELL,"SHOOTING,GRAVESTONE"
NILKAMAL,-4,SELL,"SHOOTING,GRAVESTONE"
VINYLINDIA,-4,SELL,"SHOOTING,GRAVESTONE"
ABINFRA,-4,SELL,"SHOOTING,GRAVESTONE"
RADHIKAJWE,-4,SELL,"SHOOTING,GRAVESTONE"
MAYURUNIQ,-4,SELL,"SHOOTING,GRAVESTONE"
AUBANK,-4,SELL,"SHOOTING,GRAVESTONE"
HERANBA,-4,SELL,"SHOOTING,GRAVESTONE"
CENTENKA,-4,SELL,"SHOOTING,GRAVESTONE"
IVP,-4,SELL,"SHOOTING,GRAVESTONE"
NDTV,-4,SELL,"SHOOTING,GRAVESTONE"
PRITIKAUTO,-4,SELL,"SHOOTING,GRAVESTONE"
MAZDA,-4,SELL,"SHOOTING,GRAVESTONE"
TVSSRICHAK,-4,SELL,"SHOOTING,GRAVESTONE"
NIFTY1,-4,SELL,"SHOOTING,GRAVESTONE"
