Symbol,Score,Signal,Reasons
ADANIPOWER,8,BUY,"RSI_OS,BULL_ENG,PIERCING"
HFCL,8,BUY,"RSI_OS,BULL_ENG,PIERCING"
IRCTC,7,BUY,"RSI_OS,BULL_DIV,NR7"
PERSISTENT,6,BUY,"BULL_ENG,PIERCING"
BSE,6,BUY,"BULL_ENG,PIERCING"
PREMIERENE,6,BUY,"BULL_ENG,PIERCING"
WAAREEENER,6,BUY,"BULL_ENG,PIERCING"
ATGL,6,BUY,"BULL_ENG,PIERCING"
STAR,6,BUY,"BULL_ENG,PIERCING"
TATAELXSI,5,BUY,"RSI_OS,BULL_DIV"
WIPRO,5,BUY,"RSI_OS,BULL_DIV"
INOXWIND,5,BUY,"RSI_OS,BULL_DIV"
NCC,5,BUY,"RSI_OS,BULL_DIV"
HONAUT,5,BUY,"RSI_OS,BULL_DIV"
ACC,5,BUY,"RSI_OS,BULL_DIV"
IRFC,5,BUY,"RSI_OS,BULL_DIV"
CONCOR,5,BUY,"RSI_OS,BULL_DIV"
ABFRL,5,BUY,"RSI_OS,BULL_DIV"
UCOBANK,5,BUY,"RSI_OS,BULL_DIV"
AJANTPHARM,-4,SELL,"SHOOTING,GRAVESTONE"
LAURUSLABS,-5,SELL,"RSI_OB,BEAR_DIV"
