DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-01-31,CONCOR,EQUITY,1346.65,1450.0,1340.0,1398.5,0
2015-02-28,CONCOR,EQUITY,1400.0,1650.0,1320.05,1554.7,0
2015-03-31,CONCOR,EQUITY,1541.0,1774.0,1500.0,1583.9,0
2015-04-30,CONCOR,EQUITY,1570.3,1732.0,1520.0,1640.75,0
2015-05-31,CONCOR,EQUITY,1708.0,1869.0,1648.5,1826.0,0
2015-06-30,CONCOR,EQUITY,1780.5,1947.7,1625.2,1677.95,0
2015-07-31,CONCOR,EQUITY,1678.0,1897.0,1565.0,1641.8,0
2015-08-31,CONCOR,EQUITY,1658.05,1687.0,1391.0,1425.05,0
2015-09-30,CONCOR,EQUITY,1430.0,1557.85,1287.05,1485.05,0
2015-10-31,CONCOR,EQUITY,1562.7,1574.95,1305.9,1325.15,0
2015-11-30,CONCOR,EQUITY,1338.95,1443.7,1316.0,1390.2,0
2015-12-31,CONCOR,EQUITY,1416.05,1469.0,1266.4,1313.0,0
2016-01-31,CONCOR,EQUITY,1320.0,1422.9,1125.0,1186.85,0
2016-02-29,CONCOR,EQUITY,1185.15,1195.0,1051.0,1158.4,0
2016-03-31,CONCOR,EQUITY,1221.0,1267.0,1136.45,1243.35,0
2016-04-30,CONCOR,EQUITY,1243.0,1386.0,1224.85,1352.85,0
2016-05-31,CONCOR,EQUITY,1345.0,1464.95,1296.0,1439.05,0
2016-06-30,CONCOR,EQUITY,1439.0,1469.9,1314.65,1430.55,0
2016-07-31,CONCOR,EQUITY,1427.0,1511.35,1400.3,1499.9,0
2016-08-31,CONCOR,EQUITY,1515.0,1540.0,1341.0,1394.55,0
2016-09-30,CONCOR,EQUITY,1395.0,1395.35,1265.55,1379.4,0
2016-10-31,CONCOR,EQUITY,1379.0,1422.8,1306.4,1375.55,0
2016-11-30,CONCOR,EQUITY,1375.0,1434.5,1120.35,1170.0,0
2016-12-31,CONCOR,EQUITY,1175.0,1179.9,1055.55,1110.05,0
2017-01-31,CONCOR,EQUITY,1119.15,1239.0,1103.05,1185.45,0
2017-02-28,CONCOR,EQUITY,1190.0,1336.0,1163.8,1215.9,0
2017-03-31,CONCOR,EQUITY,1225.0,1288.1,1202.05,1273.7,0
2017-04-30,CONCOR,EQUITY,986.0,1240.0,984.4,1217.85,0
2017-05-31,CONCOR,EQUITY,1184.1,1251.6,1145.8,1160.2,0
2017-06-30,CONCOR,EQUITY,1166.75,1213.3,1120.0,1146.05,0
2017-07-31,CONCOR,EQUITY,1150.0,1213.95,1135.85,1143.85,0
2017-08-31,CONCOR,EQUITY,1183.0,1344.0,1096.1,1319.9,0
2017-09-30,CONCOR,EQUITY,1322.4,1413.0,1250.85,1346.65,0
2017-10-31,CONCOR,EQUITY,1360.0,1399.2,1297.35,1382.35,0
2017-11-30,CONCOR,EQUITY,1391.85,1405.95,1301.0,1308.0,0
2017-12-31,CONCOR,EQUITY,1318.6,1419.0,1261.1,1379.35,0
2018-01-31,CONCOR,EQUITY,1388.0,1500.0,1345.0,1390.3,0
2018-02-28,CONCOR,EQUITY,1394.0,1406.85,1274.1,1304.15,0
2018-03-31,CONCOR,EQUITY,1300.0,1320.05,1167.65,1245.1,0
2018-04-30,CONCOR,EQUITY,1264.95,1380.0,1217.0,1303.9,0
