SYMBOL,Pattern
20MICRONS,Small Doji
21STCENMGM,Small Doji
360ONE,Small Doji
AARTISURF,Small Doji
ABINFRA,Small Doji
ABLBL,Small Doji
ABSLLIQUID,Small Doji
ACE,Small Doji
ACI,Small Doji
ADOR,Small Doji
AEROENTER,Small Doji
AFFORDABLE,Small Doji
AFSL,Small Doji
ALEMBICLTD,Small Doji
ALIVUS,Small Doji
ALKEM,Small Doji
AMANTA,Small Doji
AMBUJACEM,Small Doji
ANMOL,Small Doji
ANTELOPUS,Small Doji
ANURAS,Small Doji
AONETOTAL,Small Doji
APCOTEXIND,Small Doji
ARCHIES,Small Doji
ARENTERP,Small Doji
ARIHANTSUP,Small Doji
AROGRANITE,Small Doji
ASAHISONG,Small Doji
ASIANPAINT,Small Doji
ASMS,Small Doji
ASPINWALL,Small Doji
AUBANK,Small Doji
AURUM,Small Doji
AUTOIND,Small Doji
AXISILVER,Small Doji
AXISNIFTY,Small Doji
BAJAJHIND,Small Doji
BBTC,Small Doji
BEML,Small Doji
BEPL,Small Doji
BLUEJET,Small Doji
BLUESTONE,Small Doji
BOHRAIND,Small Doji
BOMDYEING,Small Doji
BSLSENETFG,Small Doji
CAMS,Small Doji
CARERATING,Small Doji
CCHHL,Small Doji
CELEBRITY,Small Doji
CENTENKA,Small Doji
CHEMBOND,Small Doji
CHEMPLASTS,Small Doji
COMPUSOFT,Small Doji
CONFIPET,Small Doji
COROMANDEL,Small Doji
CPEDU,Small Doji
CREDITACC,Small Doji
CROWN,Small Doji
CSLFINANCE,Small Doji
CUB,Small Doji
DALBHARAT,Small Doji
DANGEE,Small Doji
DAVANGERE,Small Doji
DBOL,Small Doji
DEEPAKFERT,Small Doji
DEEPAKNTR,Small Doji
DEN,Small Doji
DHARMAJ,Small Doji
DOLATALGO,Small Doji
DOMS,Small Doji
DONEAR,Small Doji
DPSCLTD,Small Doji
DRCSYSTEMS,Small Doji
DSSL,Small Doji
DUCON,Small Doji
DYCL,Small Doji
EBBETF0430,Small Doji
EIHAHOTELS,Small Doji
EIHOTEL,Small Doji
ELDEHSG,Small Doji
ELECTCAST,Small Doji
EMAMIPAP,Small Doji
EMAMIREAL,Small Doji
EMKAY,Small Doji
EMMVEE,Small Doji
EMULTIMQ,Small Doji
ERIS,Small Doji
ESCORTS,Small Doji
ESENSEX,Small Doji
ESG,Small Doji
ESILVER,Small Doji
ESSARSHPNG,Small Doji
FISCHER,Small Doji
FMCGIETF,Small Doji
FOODSIN,Small Doji
GANGESSECU,Small Doji
GARFIBRES,Small Doji
GENESYS,Small Doji
GILT10BETA,Small Doji
GLAND,Small Doji
GLOBE,Small Doji
GLOBUSSPR,Small Doji
GMDCLTD,Small Doji
GOCLCORP,Small Doji
GODREJIND,Small Doji
GOLDETF,Small Doji
GOPAL,Small Doji
GREENLAM,Small Doji
GROWWNIFTY,Small Doji
GROWWRLTY,Small Doji
GTECJAINX,Small Doji
GTL,Small Doji
GULFOILLUB,Small Doji
HALDER,Small Doji
HARSHA,Small Doji
HATHWAY,Small Doji
HATSUN,Small Doji
HCL-INSYS,Small Doji
HDBFS,Small Doji
HDFCBSE500,Small Doji
HDFCLIFE,Small Doji
HDFCSILVER,Small Doji
HDFCVALUE,Small Doji
HEADSUP,Small Doji
HINDPETRO,Small Doji
HINDUNILVR,Small Doji
HINDWAREAP,Small Doji
HMAAGRO,Small Doji
HMVL,Small Doji
HYUNDAI,Small Doji
IEX,Small Doji
IFBIND,Small Doji
IMPAL,Small Doji
INDHOTEL,Small Doji
INSPIRISYS,Small Doji
IOLCP,Small Doji
IPL,Small Doji
JAGSNPHARM,Small Doji
JAIBALAJI,Small Doji
JAICORPLTD,Small Doji
JAINREC,Small Doji
JAYSREETEA,Small Doji
JBMA,Small Doji
JINDWORLD,Small Doji
JISLDVREQS,Small Doji
JKTYRE,Small Doji
KALAMANDIR,Small Doji
KALPATARU,Small Doji
KALYANIFRG,Small Doji
KANORICHEM,Small Doji
KANPRPLA,Small Doji
KAVDEFENCE,Small Doji
KCPSUGIND,Small Doji
KEYFINSERV,Small Doji
KNAGRI,Small Doji
KOTHARIPRO,Small Doji
