SYMBOL,ADX,+DI,-DI,Signal
BSOFT,33.8,8.24,6.99,STRONG UPTREND
IRCTC,33.73,4.1,16.02,STRONG DOWNTREND
CEATLTD,33.61,4.61,6.33,STRONG DOWNTREND
IRFC,33.58,2.66,12.29,STRONG DOWNTREND
PFC,33.47,8.19,16.72,STRONG DOWNTREND
360ONE,33.36,3.93,9.64,STRONG DOWNTREND
JSL,33.16,6.78,11.47,STRONG DOWNTREND
PRESTIGE,33.07,3.49,8.7,STRONG DOWNTREND
BALKRISIND,33.02,6.65,10.27,STRONG DOWNTREND
HINDZINC,32.88,16.97,10.41,STRONG UPTREND
INDUSTOWER,32.81,5.59,5.11,STRONG UPTREND
INDIAMART,32.78,0.09,7.96,STRONG DOWNTREND
GRANULES,32.52,7.01,2.19,STRONG UPTREND
DLF,32.2,5.18,12.23,STRONG DOWNTREND
LUPIN,32.15,12.7,1.46,STRONG UPTREND
EXIDEIND,32.12,6.86,13.17,STRONG DOWNTREND
HDFCAMC,32.08,3.03,16.58,STRONG DOWNTREND
SHREECEM,31.99,1.84,10.65,STRONG DOWNTREND
ACC,31.98,5.03,17.17,STRONG DOWNTREND
MAZDOCK,31.9,8.0,2.14,STRONG UPTREND
PERSISTENT,31.87,2.8,18.98,STRONG DOWNTREND
UCOBANK,31.78,5.44,4.84,STRONG UPTREND
AUROPHARMA,31.66,8.35,0.96,STRONG UPTREND
SUNTV,31.57,6.55,8.84,STRONG DOWNTREND
INOXWIND,31.4,4.63,15.79,STRONG DOWNTREND
BATAINDIA,31.27,6.58,16.1,STRONG DOWNTREND
DALBHARAT,30.99,7.75,8.42,STRONG DOWNTREND
APLLTD,30.8,1.32,14.54,STRONG DOWNTREND
SIEMENS,30.74,5.59,3.55,STRONG UPTREND
TORNTPHARM,30.68,12.32,5.77,STRONG UPTREND
ZYDUSLIFE,30.57,6.16,11.06,STRONG DOWNTREND
HINDCOPPER,30.3,18.88,7.1,STRONG UPTREND
HDFCBANK,30.28,1.29,2.56,STRONG DOWNTREND
SRF,30.01,6.56,12.46,STRONG DOWNTREND
SAIL,29.6,8.32,4.47,STRONG UPTREND
CHENNPETRO,29.34,10.38,1.82,STRONG UPTREND
CESC,29.01,4.28,6.4,STRONG DOWNTREND
TCS,28.71,7.99,9.4,STRONG DOWNTREND
ABB,28.71,11.21,3.31,STRONG UPTREND
LODHA,28.64,7.45,13.39,STRONG DOWNTREND
LTIM,28.59,3.36,17.1,STRONG DOWNTREND
ESCORTS,28.48,6.41,13.94,STRONG DOWNTREND
TRENT,27.98,4.87,12.37,STRONG DOWNTREND
POONAWALLA,27.97,7.55,5.37,STRONG UPTREND
PIIND,27.81,3.94,9.82,STRONG DOWNTREND
TATACHEM,27.73,4.18,14.16,STRONG DOWNTREND
ASIANPAINT,27.69,20.53,6.16,STRONG UPTREND
GODREJPROP,27.63,5.2,10.57,STRONG DOWNTREND
LALPATHLAB,27.54,6.49,18.15,STRONG DOWNTREND
TIINDIA,27.5,8.93,10.99,STRONG DOWNTREND
SUNPHARMA,27.38,2.54,2.26,STRONG UPTREND
POLYCAB,27.18,5.44,8.92,STRONG DOWNTREND
ATUL,27.09,5.97,9.43,STRONG DOWNTREND
RECLTD,27.06,6.95,8.4,STRONG DOWNTREND
KAJARIACER,26.95,7.04,7.14,STRONG DOWNTREND
ONGC,26.87,8.31,10.3,STRONG DOWNTREND
MANAPPURAM,26.64,4.73,5.18,STRONG DOWNTREND
APLAPOLLO,26.59,10.43,9.49,STRONG UPTREND
LT,25.89,8.9,11.1,STRONG DOWNTREND
ALKEM,25.83,3.22,7.98,STRONG DOWNTREND
METROPOLIS,25.59,5.87,23.58,STRONG DOWNTREND
CDSL,25.55,1.42,7.61,STRONG DOWNTREND
AJANTPHARM,25.18,13.61,2.8,STRONG UPTREND
DEEPAKNTR,25.05,7.29,12.58,STRONG DOWNTREND
CGPOWER,25.05,9.93,8.99,STRONG UPTREND
