SYMBOL,Pattern
ADANIPOWER,Bullish Engulfing
ATGL,Bullish Engulfing
BSE,Bullish Engulfing
GRANULES,Bullish Engulfing
HFCL,Bullish Engulfing
PERSISTENT,Bullish Engulfing
PREMIERENE,Bullish Engulfing
STAR,Bullish Engulfing
WAAREEENER,Bullish Engulfing
