SYMBOL,Type
AMBER,Bearish Divergence
CUB,Bearish Divergence
GRANULES,Bearish Divergence
INDIACEM,Bearish Divergence
LAURUSLABS,Bearish Divergence
NAM-INDIA,Bearish Divergence
