SYMBOL,Pattern
ADANIPOWER,Piercing Pattern
ATGL,Piercing Pattern
BSE,Piercing Pattern
GRANULES,Piercing Pattern
HFCL,Piercing Pattern
PERSISTENT,Piercing Pattern
PREMIERENE,Piercing Pattern
STAR,Piercing Pattern
TECHM,Piercing Pattern
WAAREEENER,Piercing Pattern
