SYMBOL,Pattern
TOP20,Shooting Star
TRIDENT,Shooting Star
TSFINV,Shooting Star
TVSSRICHAK,Shooting Star
UNICHEMLAB,Shooting Star
UNITEDTEA,Shooting Star
VALIANTLAB,Shooting Star
VALIANTORG,Shooting Star
VARROC,Shooting Star
VESUVIUS,Shooting Star
VINATIORGA,Shooting Star
VINNY,Shooting Star
VINYLINDIA,Shooting Star
VISHNU,Shooting Star
VMSTMT,Shooting Star
WAKEFIT,Shooting Star
ZODIAC,Shooting Star
